,"('C', '_Time/us')","('C', '_Amplitude/mV')"
139,2.7800000000004443,-1.242780033000978
140,2.8000000000004475,-1.3115685537680137
141,2.8200000000004506,-1.3787295437891562
142,2.8400000000004537,-1.44416950291404
143,2.8600000000004573,-1.5077972272903315
144,2.8800000000004604,-1.5695239348027241
145,2.9000000000004635,-1.6292633871266258
146,2.9200000000004667,-1.686932008227311
147,2.94000000000047,-1.7424489991460543
148,2.960000000000473,-1.7957364489119023
149,2.9800000000004765,-1.846719441431702
150,3.0000000000004796,-1.8953261582085705
151,3.0200000000004827,-1.941487976752989
152,3.040000000000486,-1.9851395645501317
153,3.060000000000489,-2.026218968456513
154,3.080000000000492,-2.0646676994073863
155,3.1000000000004957,-2.1004308123163784
156,3.120000000000499,-2.1334569810645516
157,3.140000000000502,-2.163698568475523
