,"('B', '_Time/us')","('B', '_Amplitude/mV')"
8829,176.58000000002824,-3.2904599390583553
8830,176.60000000002822,-3.1606380070921194
8831,176.62000000002826,-3.0304397894433555
8832,176.64000000002824,-2.899891779557658
8833,176.66000000002825,-2.769020484424268
8834,176.68000000002823,-2.637852418552324
8835,176.70000000002827,-2.5064140979561818
8836,176.72000000002825,-2.3747320341556413
8837,176.74000000002826,-2.242832728188107
8838,176.76000000002824,-2.1107426646367795
8839,176.78000000002828,-1.9784883056754694
8840,176.80000000002826,-1.8460960851318167
8841,176.82000000002827,-1.7135924025703293
8842,176.84000000002825,-1.5810036173962758
8843,176.8600000000283,-1.44835604298231
8844,176.88000000002828,-1.3156759408195318
8845,176.90000000002829,-1.182989514693734
8846,176.92000000002827,-1.0503229048887224
8847,176.9400000000283,-0.9177021824179186
8848,176.9600000000283,-0.7851533432858427
8849,176.9800000000283,-0.6527023027806852
8850,177.00000000002828,-0.5203748897998767
8851,177.02000000002832,-0.3881968412088922
8852,177.0400000000283,-0.2561937962358293
8853,177.0600000000283,-0.12439129090276248
8854,177.0800000000283,0.0071852475047971655
8855,177.10000000002833,0.13851050592995168
8856,177.1200000000283,0.2695592909942755
8857,177.14000000002832,0.4003065344069307
8858,177.1600000000283,0.5307272983296835
8859,177.18000000002834,0.6607967806980842
8860,177.20000000002833,0.7904903204955257
8861,177.22000000002834,0.9197834029816536
8862,177.24000000002832,1.0486516648713369
8863,177.26000000002836,1.1770708994640255
8864,177.28000000002834,1.3050170617230965
8865,177.30000000002835,1.4324662733024793
8866,177.32000000002833,1.5593948275197285
8867,177.34000000002837,1.6857791942756144
8868,177.36000000002835,1.8115960249178797
8869,177.38000000002836,1.9368221570471436
8870,177.40000000002834,2.0614346192670303
8871,177.42000000002838,2.1854106358734273
8872,177.44000000002836,2.3087276314852323
8873,177.46000000002837,2.4313632356124915
8874,177.48000000002835,2.5532952871636376
8875,177.5000000000284,2.6745018388896966
8876,177.52000000002838,2.7949611617622185
8877,177.54000000002839,2.914651749288869
8878,177.56000000002837,3.0335523217605833
8879,177.5800000000284,3.151641830432483
8880,177.6000000000284,3.2688994616371603
8881,177.6200000000284,3.385304640827596
8882,177.64000000002838,3.5008370365512964
8883,177.66000000002842,3.6154765643530187
8884,177.6800000000284,3.729203390606554
8885,177.7000000000284,3.8419979362728416
8886,177.7200000000284,3.953840880585459
8887,177.74000000002843,4.064713164662174
8888,177.7600000000284,4.17459599504107
8889,177.78000000002842,4.283470847140924
8890,177.8000000000284,4.391319468645724
8891,177.82000000002844,4.498123882811464
8892,177.84000000002843,4.603866391695449
8893,177.86000000002844,4.708529579306838
8894,177.88000000002842,4.812096314678364
8895,177.90000000002846,4.9145497548576635
8896,177.92000000002844,5.015873347819168
8897,177.94000000002845,5.1160508352937635
8898,177.96000000002843,5.215066255518304
8899,177.98000000002847,5.31290394590156
8900,178.00000000002845,5.409548545609054
8901,178.02000000002846,5.504984998063566
8902,178.04000000002847,5.599198553363169
8903,178.06000000002848,5.692174770614275
8904,178.08000000002846,5.783899520180965
8905,178.10000000002847,5.874358985849585
8906,178.12000000002848,5.9635396669072245
8907,178.1400000000285,6.051428380136248
8908,178.16000000002848,6.138012261721174
8909,178.18000000002849,6.223278769071221
8910,178.2000000000285,6.307215682554833
8911,178.2200000000285,6.389811107148884
8912,178.2400000000285,6.4710534740000485
8913,178.2600000000285,6.550931541899381
8914,178.2800000000285,6.629434398670123
8915,178.30000000002852,6.706551462467411
8916,178.3200000000285,6.782272482990466
8917,178.3400000000285,6.856587542608009
8918,178.36000000002852,6.929487057395099
8919,178.38000000002853,7.000961778081911
8920,178.4000000000285,7.0710027909165145
8921,178.42000000002852,7.139601518437443
8922,178.44000000002853,7.206749720160247
8923,178.46000000002854,7.272439493175928
8924,178.48000000002853,7.336663272661037
8925,178.50000000002854,7.3994138323013745
8926,178.52000000002855,7.460684284626887
8927,178.54000000002856,7.520468081260859
8928,178.56000000002854,7.578759013080521
8929,178.58000000002855,7.635551210291682
8930,178.60000000002856,7.690839142416233
8931,178.62000000002857,7.744617618193457
8932,178.64000000002855,7.7968817853948975
8933,178.66000000002856,7.847627130553453
8934,178.68000000002857,7.896849478607077
8935,178.70000000002858,7.944544992457012
8936,178.72000000002856,7.990710172440961
8937,178.74000000002857,8.035341855722374
8938,178.76000000002858,8.078437215595295
8939,178.7800000000286,8.11999376070523
8940,178.80000000002858,8.1600093341879
8941,178.82000000002859,8.198482112723894
8942,178.8400000000286,8.235410605512469
8943,178.8600000000286,8.270793653162613
8944,178.8800000000286,8.30463042650417
8945,178.9000000000286,8.336920425316894
8946,178.9200000000286,8.36766347698092
8947,178.94000000002862,8.396859735048006
8948,178.9600000000286,8.424509677732216
8949,178.9800000000286,8.450614106325158
8950,179.00000000002862,8.475174143532051
8951,179.02000000002863,8.498191231731955
8952,179.0400000000286,8.519667131161784
8953,179.06000000002862,8.539603918025797
8954,179.08000000002863,8.558003982529854
8955,179.10000000002864,8.574870026842472
8956,179.12000000002863,8.590205062983582
8957,179.14000000002864,8.604012410640328
8958,179.16000000002865,8.616295694912983
8959,179.18000000002866,8.627058843989515
8960,179.20000000002864,8.636306086751645
8961,179.22000000002865,8.644041950311799
8962,179.24000000002866,8.650271257483306
8963,179.26000000002867,8.654999124183725
8964,179.28000000002865,8.658230956771758
8965,179.30000000002866,8.65997244932133
8966,179.32000000002867,8.660229580830475
8967,179.34000000002868,8.659008612367886
8968,179.36000000002866,8.656316084159
8969,179.38000000002867,8.652158812609958
8970,179.40000000002868,8.646543887273776
8971,179.4200000000287,8.639478667755986
8972,179.44000000002868,8.63097078056581
8973,179.46000000002869,8.621028115908471
8974,179.4800000000287,8.609658824424182
8975,179.5000000000287,8.596871313872635
8976,179.5200000000287,8.582674245764618
8977,179.5400000000287,8.567076531942128
8978,179.5600000000287,8.550087331108829
8979,179.58000000002872,8.53171604530984
8980,179.6000000000287,8.511972316364597
8981,179.6200000000287,8.490866022253039
8982,179.64000000002872,8.468407273455272
8983,179.66000000002873,8.444606409248001
8984,179.6800000000287,8.419473993957116
8985,179.70000000002872,8.393020813168993
8986,179.72000000002873,8.365257869900596
8987,179.74000000002874,8.336196380731646
8988,179.76000000002873,8.305847771897152
8989,179.78000000002874,8.27422367534448
8990,179.80000000002875,8.241335924754841
8991,179.82000000002876,8.20719655153042
8992,179.84000000002874,8.17181778074908
8993,179.86000000002875,8.135212027087906
8994,179.88000000002876,8.097391890715961
8995,179.90000000002877,8.058370153159325
8996,179.92000000002875,8.018159773138192
8997,179.94000000002876,7.976773882377903
8998,179.96000000002877,7.934225781395986
8999,179.98000000002878,7.890528935265068
9000,180.00000000002876,7.845696969354882
9001,180.02000000002877,7.799743665052991
9002,180.04000000002878,7.752682955466559
9003,180.0600000000288,7.704528921106688
9004,180.08000000002878,7.655295785556005
9005,180.10000000002879,7.604997911121445
9006,180.1200000000288,7.553649794473319
9007,180.1400000000288,7.501266062272496
9008,180.1600000000288,7.447861466786065
9009,180.1800000000288,7.393450881494035
9010,180.2000000000288,7.338049296688368
9011,180.22000000002882,7.281671815064184
9012,180.2400000000288,7.224333647306891
9013,180.26000000002884,7.166050107674212
9014,180.28000000002882,7.106836609576884
9015,180.30000000002883,7.046708661157491
9016,180.3200000000288,6.985681860869089
9017,180.34000000002885,6.923771893056496
9018,180.36000000002883,6.860994523539867
9019,180.38000000002884,6.797365595202141
9020,180.40000000002883,6.732901023583301
9021,180.42000000002886,6.667616792480371
9022,180.44000000002885,6.60152894955709
9023,180.46000000002886,6.534653601961275
9024,180.48000000002884,6.467006911955723
9025,180.50000000002888,6.398605092559736
9026,180.52000000002886,6.3294644032038745
9027,180.54000000002887,6.25960114540194
9028,180.56000000002885,6.189031658436544
9029,180.5800000000289,6.117772315063804
9030,180.60000000002887,6.04583951723657
9031,180.62000000002888,5.97324969184773
9032,180.64000000002886,5.900019286493971
9033,180.6600000000289,5.826164765263974
9034,180.68000000002888,5.75170260454865
9035,180.7000000000289,5.676649288876865
9036,180.72000000002888,5.601021306778586
9037,180.7400000000289,5.524835146673789
9038,180.7600000000289,5.448107292790839
9039,180.7800000000289,5.370854221114991
9040,180.8000000000289,5.293092395367469
9041,180.82000000002893,5.2148382630161825
9042,180.8400000000289,5.136108251320811
9043,180.86000000002892,5.056918763411456
9044,180.8800000000289,4.977286174402628
9045,180.90000000002894,4.897226827544754
9046,180.92000000002892,4.816757030412391
9047,180.94000000002893,4.735893051131029
9048,180.9600000000289,4.654651114644575
9049,180.98000000002895,4.573047399022921
9050,181.00000000002893,4.491098031810647
9051,181.02000000002894,4.408819086420061
9052,181.04000000002893,4.326226578566513
9053,181.06000000002896,4.243336462748446
9054,181.08000000002895,4.160164628773966
9055,181.10000000002896,4.076726898333289
9056,181.12000000002894,3.993039021618023
9057,181.14000000002898,3.909116673989653
9058,181.16000000002896,3.824975452696733
9059,181.18000000002897,3.740630873641491
9060,181.20000000002895,3.65609836819834
9061,181.220000000029,3.571393280082533
9062,181.24000000002897,3.4865308622722444
9063,181.26000000002898,3.4015262739828365
9064,181.28000000002896,3.3163945776955495
9065,181.300000000029,3.231150736240682
9066,181.32000000002898,3.1458096099345148
9067,181.340000000029,3.0603859537749445
9068,181.36000000002898,2.9748944146899126
9069,181.380000000029,2.889349528846103
9070,181.400000000029,2.8037657190136764
9071,181.420000000029,2.718157291989369
9072,181.440000000029,2.632538436078497
9073,181.46000000002903,2.5469232186364716
9074,181.480000000029,2.461325583670387
9075,181.50000000002902,2.3757593494995177
9076,181.520000000029,2.2902382064784916
9077,181.54000000002904,2.20477571477991
9078,181.56000000002902,2.1193853022396474
9079,181.58000000002903,2.0340802622637617
9080,181.600000000029,1.9488737517973005
9081,181.62000000002905,1.863778789356489
9082,181.64000000002903,1.7788082531231697
9083,181.66000000002904,1.6939748791031835
9084,181.68000000002903,1.6092912593472903
9085,181.70000000002906,1.5247698402366374
9086,181.72000000002905,1.4404229208322894
9087,181.74000000002906,1.356262651287331
9088,181.76000000002904,1.2723010313253615
9089,181.78000000002908,1.1885499087822504
9090,181.80000000002906,1.105020978211909
9091,181.82000000002907,1.0217257795579207
9092,181.84000000002905,0.9386756968889672
9093,181.8600000000291,0.8558819571992428
9094,181.88000000002907,0.7733556292732828
9095,181.90000000002908,0.691107622616027
9096,181.92000000002906,0.60914868644701
9097,181.9400000000291,0.5274894087592978
9098,181.96000000002908,0.4461402154431978
9099,181.9800000000291,0.36511136947340433
9100,182.00000000002908,0.2844129701624199
9101,182.0200000000291,0.20405495247501548
9102,182.0400000000291,0.1240470864098135
9103,182.0600000000291,0.04439897644183501
9104,182.08000000002912,-0.0348799389694205
9105,182.10000000002913,-0.11378038781031508
9106,182.1200000000291,-0.19229326487943646
9107,182.14000000002912,-0.27040963209171187
9108,182.16000000002913,-0.3481207187207207
9109,182.18000000002914,-0.4254179215778701
9110,182.20000000002912,-0.5022928051321702
9111,182.22000000002913,-0.5787371015658118
9112,182.24000000002914,-0.6547427107724741
9113,182.26000000002915,-0.73030170029248
9114,182.28000000002913,-0.8054063051899915
9115,182.30000000002914,-0.8800489278701579
9116,182.32000000002915,-0.9542221378371794
9117,182.34000000002916,-1.0279186713954043
9118,182.36000000002915,-1.1011314312908276
9119,182.38000000002916,-1.1738534862973704
9120,182.40000000002917,-1.2460780707454429
9121,182.42000000002918,-1.317798583994521
9122,182.44000000002916,-1.3890085898515898
9123,182.46000000002917,-1.4597018159340525
9124,182.48000000002918,-1.529872152978486
9125,182.5000000000292,-1.5995136540971777
9126,182.52000000002917,-1.668620533981773
9127,182.54000000002918,-1.7371871680540814
9128,182.5600000000292,-1.8052080915677968
9129,182.5800000000292,-1.8726779986586026
9130,182.60000000002918,-1.9395917413449564
9131,182.6200000000292,-2.0059443284812155
9132,182.6400000000292,-2.071730924661278
9133,182.6600000000292,-2.1369468490776073
9134,182.6800000000292,-2.201587574331397
9135,182.7000000000292,-2.2656487251998834
9136,182.72000000002922,-2.3291260773582327
9137,182.74000000002923,-2.3920155560577645
9138,182.7600000000292,-2.4543132347630636
9139,182.78000000002922,-2.5160153337452638
9140,182.80000000002923,-2.5771182186372954
9141,182.82000000002924,-2.637618398947568
9142,182.84000000002922,-2.6975125265360353
9143,182.86000000002923,-2.7567973940521435
9144,182.88000000002924,-2.8154699333361837
9145,182.90000000002925,-2.87352721378565
9146,182.92000000002923,-2.9309664406855256
9147,182.94000000002924,-2.9877849535068624
9148,182.96000000002925,-3.043980224171625
9149,182.98000000002926,-3.0995498552857046
9150,183.00000000002925,-3.1544915783436216
9151,183.02000000002926,-3.208803251901463
9152,183.04000000002927,-3.2624828597230286
9153,183.06000000002928,-3.3155285088986375
