,"('A', '_Time/us')","('A', '_Amplitude/mV')"
4646,92.92000000001485,63.99025384683509
4647,92.94000000001485,64.05358921541293
4648,92.96000000001486,64.11560274256642
4649,92.98000000001485,64.17629430312834
4650,93.00000000001486,64.23566379810264
4651,93.02000000001486,64.29371115464353
4652,93.04000000001487,64.35043632603356
4653,93.06000000001488,64.40583929166161
4654,93.08000000001488,64.45992005699958
4655,93.10000000001489,64.51267865357926
4656,93.12000000001488,64.56411513896768
4657,93.1400000000149,64.6142295967427
4658,93.16000000001489,64.66302213646742
4659,93.1800000000149,64.7104928936642
4660,93.2000000000149,64.75664202978807
4661,93.2200000000149,64.80146973219942
4662,93.2400000000149,64.8449762141363
4663,93.26000000001491,64.88716171468582
4664,93.28000000001491,64.92802649875529
4665,93.30000000001492,64.96757085704226
4666,93.32000000001491,65.00579510600461
4667,93.34000000001492,65.04269958782962
4668,93.36000000001492,65.0782846704022
4669,93.38000000001493,65.1125507472734
4670,93.40000000001493,65.14549823762731
4671,93.42000000001494,65.17712758624802
4672,93.44000000001493,65.20743926348591
4673,93.46000000001494,65.23643376522303
4674,93.48000000001494,65.26411161283815
4675,93.50000000001495,65.29047335317138
4676,93.52000000001495,65.31551955848781
4677,93.54000000001496,65.33925082644075
4678,93.56000000001495,65.36166778003464
4679,93.58000000001496,65.38277106758686
4680,93.60000000001496,65.40256136268945
4681,93.62000000001497,65.42103936417014
4682,93.64000000001496,65.43820579605224
4683,93.66000000001497,65.45406140751531
4684,93.68000000001497,65.46860697285352
4685,93.70000000001498,65.48184329143488
4686,93.72000000001498,65.49377118765918
4687,93.74000000001499,65.5043915109155
4688,93.76000000001498,65.51370513553927
4689,93.780000000015,65.52171296076881
4690,93.80000000001499,65.5284159107009
4691,93.820000000015,65.53381493424644
4692,93.840000000015,65.5379110050851
4693,93.860000000015,65.54070512161931
4694,93.880000000015,65.54219830692844
4695,93.90000000001501,65.54239160872143
4696,93.92000000001501,65.54128609928969
4697,93.94000000001502,65.53888287545908
4698,93.96000000001501,65.53518305854125
4699,93.98000000001502,65.53018779428506
4700,94.00000000001502,65.52389825282637
4701,94.02000000001503,65.51631562863848
4702,94.04000000001503,65.5074411404813
4703,94.06000000001504,65.49727603135024
4704,94.08000000001503,65.4858215684245
4705,94.10000000001504,65.47307904301495
4706,94.12000000001504,65.45904977051123
4707,94.14000000001505,65.44373509032881
4708,94.16000000001505,65.42713636585488
4709,94.18000000001506,65.40925498439451
4710,94.20000000001505,65.39009235711548
4711,94.22000000001506,65.3696499189932
4712,94.24000000001506,65.34792912875481
4713,94.26000000001507,65.32493146882321
4714,94.28000000001506,65.30065844525966
4715,94.30000000001507,65.27511158770704
4716,94.32000000001507,65.24829244933187
4717,94.34000000001508,65.22020260676592
4718,94.36000000001508,65.19084366004756
4719,94.38000000001509,65.16021723256252
4720,94.40000000001508,65.12832497098394
